_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d615af4,25239,1065,9,51,88,17,14,14,14,0,53,+29.769,4944134,53,12,1:25.849,242.924,1,2021
6525f3fe35c39ef20d615af5,25240,1065,854,210,47,18,15,15,15,0,53,+51.088,4965453,52,17,1:26.707,240.52,1,2021
6525f3fe35c39ef20d615af6,25241,1065,853,210,9,16,\N,R,16,0,41,\N,\N,41,18,1:27.202,239.155,131,2021
6525f3fe35c39ef20d615af7,25242,1065,1,131,44,4,\N,R,17,0,25,\N,\N,3,14,1:25.870,242.864,4,2021
6525f3fe35c39ef20d615af8,25243,1065,830,9,33,1,\N,R,18,0,25,\N,\N,25,5,1:25.173,244.852,4,2021
6525f3fe35c39ef20d615af9,25244,1065,842,213,10,0,\N,R,19,0,3,\N,\N,2,19,1:29.005,234.31,22,2021
6525f3fe35c39ef20d615afa,25245,1065,852,213,22,0,\N,W,20,0,0,\N,\N,\N,0,\N,\N,23,2021
6525f3fe35c39ef20d615afb,25246,1066,1,131,44,4,1,1,1,25,53,1:30:41.001,5441001,43,2,1:37.575,215.76,1,2021
6525f3fe35c39ef20d615afc,25247,1066,830,9,33,20,2,2,2,18,53,+53.271,5494272,28,5,1:38.396,213.959,1,2021
6525f3fe35c39ef20d615afd,25248,1066,832,6,55,2,3,3,3,15,53,+1:02.475,5503476,40,12,1:39.294,212.024,1,2021
6525f3fe35c39ef20d615afe,25249,1066,817,1,3,5,4,4,4,12,53,+1:05.607,5506608,24,9,1:39.124,212.388,1,2021
6525f3fe35c39ef20d615aff,25250,1066,822,131,77,16,5,5,5,10,53,+1:07.533,5508534,31,3,1:38.216,214.352,1,2021
6525f3fe35c39ef20d615b00,25251,1066,4,214,14,6,6,6,6,8,53,+1:21.321,5522322,44,6,1:38.686,213.331,1,2021
6525f3fe35c39ef20d615b01,25252,1066,846,1,4,1,7,7,7,7,53,+1:27.224,5528225,39,1,1:37.423,216.096,1,2021
6525f3fe35c39ef20d615b02,25253,1066,8,51,7,13,8,8,8,4,53,+1:28.955,5529956,34,16,1:40.289,209.921,1,2021
6525f3fe35c39ef20d615b03,25254,1066,815,9,11,8,9,9,9,2,53,+1:30.076,5531077,45,10,1:39.215,212.193,1,2021
6525f3fe35c39ef20d615b04,25255,1066,847,3,63,3,10,10,10,1,53,+1:40.551,5541552,40,18,1:40.596,209.28,1,2021
6525f3fe35c39ef20d615b05,25256,1066,840,117,18,7,11,11,11,0,53,+1:46.198,5547199,35,17,1:40.464,209.555,1,2021
6525f3fe35c39ef20d615b06,25257,1066,20,117,5,10,12,12,12,0,52,\N,\N,44,11,1:39.251,212.116,11,2021
6525f3fe35c39ef20d615b07,25258,1066,842,213,10,11,13,13,13,0,52,\N,\N,35,4,1:38.279,214.214,11,2021
6525f3fe35c39ef20d615b08,25259,1066,839,214,31,9,14,14,14,0,52,\N,\N,34,19,1:40.598,209.276,11,2021
6525f3fe35c39ef20d615b09,25260,1066,844,6,16,19,15,15,15,0,52,\N,\N,45,7,1:38.994,212.667,11,2021
6525f3fe35c39ef20d615b0a,25261,1066,841,51,99,17,16,16,16,0,52,\N,\N,39,8,1:39.058,212.53,11,2021
